Senyawa1,Senyawa2,Synergy Score
Sigmoidin B,"1,3,7-Trihydroxyxanthone",0.015129405
beta-Monoolein,(R)-linalool,0.015095084
beta-Carotene,"(6S,9R)-Roseoside",0.015081157
Methyl rosmarinate,L-Phenylalanine,0.015075465
Gallic acid,Methyl rosmarinate,0.015068565
Dihydrotanshinone I,Salicylic acid,0.01504633
(-)-Jasmonic acid,Fumaric acid,0.01504021
2'-Hydroxygenistein,Isoglycyrol,0.015033891
Adenosine,Dihydrotanshinone I,0.015016341
Isoglycyrol,Liquiritin,0.015000343
Lycopene,Licuroside,0.014980697
Isorhamnetin,Punicalin,0.014964839
Glycyrrhizic acid,Miltirone,0.01495282
Gancaonin U,Isoliquiritigenin,0.014952312
Dihydrotanshinone I,Coumarin,0.014952171
Rutin,"3',4',7-Trihydroxyflavone",0.014940103
Vanillic acid,Sigmoidin B,0.014936579
"3',4',7-Trihydroxyflavone",Semilicoisoflavone B,0.01493523
Adenosine,Isorhamnetin,0.014934115
Chelerythrine,Isorhamnetin,0.014932286
Protopine,Lycopene,0.014915198
Uracil,Linoleic acid,0.014908515
Naringin,Isoglycyrol,0.014907709
Phaseollidin,Liquiritigenin,0.014902108
Isoglycyrol,Isoliquiritigenin,0.014888664
Succinic acid,Fumaric acid,0.014876651
beta-Monoolein,Oleanolic acid,0.014865379
Dihydrotanshinone I,Labiatenic acid,0.014859106
beta-Monoolein,Pregnenolone,0.014846566
beta-D-Glucosamine,Isoliquiritigenin,0.014846369
Gibberellin A3,Isoliquiritin,0.014838902
Tetrahydroalstonine,Pregnenolone,0.014834196
Thiamine,Palmitic acid,0.014833719
Dihydrotanshinone I,Naringenin,0.01482573
Protopine,(R)-linalool,0.014820683
Isoglycyrol,Cryptotanshinone,0.014820157
Isolicoflavonol,Sanguinarine,0.014808449
"Methyl 3,4,5-trihydroxybenzoate",Sigmoidin B,0.014793022
(R)-linalool,Succinic acid,0.01477962
Oxalic acid,9-Ribosyl-trans-zeatin,0.014777944
Sucrose,7-Hydroxycoumarin,0.014773128
Serotonin,Glycyrol,0.014769326
Linoleic acid,Echinatin,0.014755112
Licuroside,Glycyrol,0.014752508
Gancaonin U,Tanshinone II,0.014748416
Oleic acid,Isoliquiritin,0.014718989
Gancaonin U,Isoferulic acid,0.014714099
Ajmalicine,Licuroside,0.014704801
Gancaonin U,Cryptotanshinone,0.014686271
Isoglycyrol,Oleanolic acid,0.014682151
Folic acid,beta-D-Glucosamine,0.014668405
Uracil,Isolicoflavonol,0.014668109
Succinic acid,Oleanolic acid,0.01466655
Dihydrotanshinone I,Vindoline,0.014661273
Liquiritigenin,Isoprene,0.014654006
Sigmoidin B,"3,4-Dihydroxybenzoic acid",0.014653134
Gancaonin U,Palmitic acid,0.014652888
Isolicoflavonol,Rutin,0.014651981
Fisetin,Vincamine,0.0146478
"3',4',7-Trihydroxyflavone",Vincamine,0.014638886
Kaempferol 3-glucuronide,p-Coumaric acid,0.014634879
Malic acid,Echinatin,0.014617769
Berberine,"(6S,9R)-Roseoside",0.014614798
Succinic acid,Formononetin,0.01461405
N6-(delta2-Isopentenyl)adenine,Vincamine,0.014601731
Isoglycyrol,Oleic acid,0.014599878
Loganin,L-Phenylalanine,0.014593531
Fisetin,Glycyrol,0.014585359
Isorhamnetin,Peucedanin,0.014571913
2'-Hydroxygenistein,Gancaonin U,0.014570484
Isoliquiritin,Tanshinone I,0.014558296
Liquiritigenin,Vanillin,0.014552889
Liquiritigenin,Riboflavin,0.014540889
Fumaric acid,Isoglycyrol,0.014539478
Dihydrotanshinone I,Peucedanin,0.014527367
beta-Carotene,beta-Monoolein,0.014515033
Naringenin,Liquiritigenin,0.014508019
Rutin,Dihydrotanshinone I,0.014505669
3-O-Caffeoylquinic acid,Sucrose,0.014505186
"6,8-Diprenylgenistein",Palmitic acid,0.014497418
Isorhamnetin,Coumarin,0.01448876
Liquiritigenin,Quercetin,0.014472143
Gibberellin A3,(-)-Jasmonic acid,0.014467923
Isoprene,Glycycoumarin,0.014467223
Vindoline,"3',4',7-Trihydroxyflavone",0.014462053
9-Ribosyl-trans-zeatin,Gibberellin A3,0.014458687
Sigmoidin B,Tanshinone II,0.014445184
Vincristine,Isolicoflavonol,0.014442709
Isorhamnetin,Sweroside,0.014441913
Isoliquiritin,Vanillin,0.014437031
Echinatin,Tryptamine,0.014433493
beta-Monoolein,Chelerythrine,0.014428129
Liquiritigenin,"1,3,7-Trihydroxyxanthone",0.01442761
Oestrone,Liquiritigenin,0.01441372
Riboflavin,Semilicoisoflavone B,0.014412232
p-Coumaric acid,Linoleic acid,0.014400076
Isoschaftoside,Glycyrrhizic acid,0.014393399
Vincamine,Cholesterol,0.014382603
Liquiritigenin,Glycyrrhizic acid,0.014380105
Chrysoeriol,Isoglycyrol,0.014378567
Gibberellin A3,Isoglycyrol,0.014373281
(R)-linalool,Isoliquiritin,0.014368375
Isoglycyrol,p-Coumaric acid,0.014365547
Quinic acid,(+)-S-Carvone,0.014355877
Quinic acid,4-Terpineol,0.014355877
Quinic acid,alpha-Terpinene,0.014355877
Uracil,Licuroside,0.014355232
Palmitic acid,"3',4',7-Trihydroxyflavone",0.014345984
beta-Monoolein,Tetrahydroalstonine,0.014344195
beta-Monoolein,Indole-3-acetic acid,0.014343398
Dihydrotanshinone I,Spermine,0.014340406
beta-Monoolein,Glycycoumarin,0.014338344
Scopoletin,Palmitic acid,0.014322203
beta-Monoolein,Trigonelline,0.014316285
Gancaonin U,Sucrose,0.014295499
Kaempferol 3-glucuronide,Glycyrol,0.01429334
Tetrahydroalstonine,"(6S,9R)-Roseoside",0.014281586
Uracil,Glycyrrhizic acid,0.014277164
Testosterone,Liquiritigenin,0.014272904
Dihydrotanshinone I,Oestrone,0.014272162
Labiatenic acid,p-Coumaric acid,0.014271753
"3',4',7-Trihydroxyflavone",3' 5'-cyclic AMP,0.014262802
Palmitic acid,Vincamine,0.014260592
Dihydrotanshinone I,"Methyl 3,4,5-trihydroxybenzoate",0.014256297
Isoliquiritin,Lycopene,0.014245106
Vincristine,Mitraphylline,0.01424103
Succinic acid,Tanshinone I,0.014209698
beta-D-Glucosamine,Tanshinone I,0.014207309
Isorhamnetin,L-Phenylalanine,0.01417588
Semilicoisoflavone B,N6-(delta2-Isopentenyl)adenine,0.014172993
Glycycoumarin,Oleic acid,0.014149769
Semilicoisoflavone B,Kaempferol 3-glucuronide,0.014144199
Labiatenic acid,Glycyrol,0.014136183
Isoliquiritin,trans-Zeatin,0.014134349
Tryptamine,Dihydrotanshinone I,0.014133251
Tanshinone I,beta-Monoolein,0.014127795
Licuroside,Liquiritigenin,0.014125405
Berberine,Vincamine,0.014122671
Gibberellin A3,Succinic acid,0.014099667
Isoglycyrol,Acetovanillone,0.014082888
Miltirone,Naringenin,0.01407878
Hirsutrin,Loganic acid,0.014072321
Succinic acid,3-O-Caffeoylquinic acid,0.014066589
Isoschaftoside,Ferruginol,0.014063443
Folic acid,Sigmoidin B,0.014060221
9-Ribosyl-trans-zeatin,Licuroside,0.014052351
alpha-Pinene,Isorhamnetin 3-O-beta-D-glucopyranoside,0.01404988
N6-(delta2-Isopentenyl)adenine,Succinic acid,0.014040939
Serotonin,beta-Monoolein,0.014033768
Gancaonin U,Fisetin,0.014025555
Quinic acid,Succinic acid,0.01401493
Isoglycyrol,Lycopene,0.014012676
Gancaonin U,Oleanolic acid,0.014003402
Gallic acid,Isolicoflavonol,0.013995884
Glycycoumarin,Protopine,0.013991835
(+)-S-Carvone,Sigmoidin B,0.01397901
alpha-Terpinene,Sigmoidin B,0.01397901
4-Terpineol,Sigmoidin B,0.01397901
Sigmoidin B,Chrysoeriol,0.013971389
Isorhamnetin,Vanillic acid,0.013961867
Dihydrotanshinone I,Fisetin,0.013960683
Rutin,Mitraphylline,0.01394478
Lycopene,Tetrahydroalstonine,0.0139397
Tryptamine,Isorhamnetin,0.013935385
Thiamine,(-)-Jasmonic acid,0.013934991
Oleic acid,Echinatin,0.013933839
2'-Hydroxygenistein,Isoliquiritin,0.013930992
Sucrose,Thiamine,0.013930449
3-O-Caffeoylquinic acid,N6-(delta2-Isopentenyl)adenine,0.013922527
Sucrose,"6,8-Diprenylgenistein",0.013909581
Oxalic acid,trans-Zeatin,0.013868136
Lycopene,Ajmalicine,0.013864769
Oleanolic acid,beta-D-Glucosamine,0.013862366
Myoinositol,"3',4',7-Trihydroxyflavone",0.013859458
Methyl rosmarinate,Isoliquiritin,0.013848493
Naringin,Gancaonin U,0.013847852
"3,4-Dihydroxybenzoic acid",Isorhamnetin,0.01384767
Semilicoisoflavone B,Fisetin,0.013845195
Isorhamnetin,Ferruginol,0.013835674
beta-Monoolein,3-O-Caffeoylquinic acid,0.013829958
Hirsutrin,Glycycoumarin,0.013818876
beta-D-Glucosamine,Liquiritin,0.013809962
Isorhamnetin,Oestrone,0.013798712
9-Ribosyl-trans-zeatin,4-Terpineol,0.013796818
9-Ribosyl-trans-zeatin,alpha-Terpinene,0.013796818
(+)-S-Carvone,9-Ribosyl-trans-zeatin,0.013796818
Cholesterol,Protopine,0.013780378
Isorhamnetin,"Methyl 3,4,5-trihydroxybenzoate",0.013747839
Isoglycyrol,(R)-linalool,0.013746021
Serotonin,Isolicoflavonol,0.013738578
Isoglycyrol,Apigenin,0.013721712
Protopine,Fumaric acid,0.013702389
Coumestrol,Liquiritigenin,0.013700398
Sucrose,Scopoletin,0.013692145
Uracil,Serotonin,0.013678551
Citric acid,Glycycoumarin,0.013671803
Fisetin,p-Coumaric acid,0.013665557
beta-Monoolein,Myoinositol,0.013662896
Vanillin,Sigmoidin B,0.013651985
Semilicoisoflavone B,Spermidine,0.013633525
Gallic acid,Mitraphylline,0.013630349
7-Hydroxycoumarin,Isoliquiritin,0.013626165
Succinic acid,Myoinositol,0.013623465
Malic acid,Isorhamnetin,0.013620468
delta-Tocopherol,p-Coumaric acid,0.013615737
Liquiritin,Gancaonin U,0.013613203
Coumestrol,Dihydrotanshinone I,0.01360869
Isorhamnetin,Coumestrol,0.013604411
Sigmoidin B,Oxalic acid,0.013584128
Ajmalicine,Isoferulic acid,0.013571856
Isoschaftoside,Coumarin,0.013570473
Mitraphylline,Uracil,0.01356688
Echinatin,Gallic acid,0.01356128
Hirsutrin,Methyl rosmarinate,0.0135573
Isoglycyrol,Formononetin,0.013554547
Trigonelline,beta-D-Glucosamine,0.013554516
Myristicin,Isoglycyrol,0.01353757
Sigmoidin B,2'-Hydroxygenistein,0.013522685
Palmitic acid,trans-Zeatin,0.013518483
Echinatin,alpha-Pinene,0.013517324
Spermidine,p-Coumaric acid,0.013493946
L-Phenylalanine,Echinatin,0.013487606
beta-Carotene,Licuroside,0.013478395
alpha-Pinene,Loganic acid,0.013450395
"3',4',7-Trihydroxyflavone",Glycyrrhizic acid,0.013434542
Dihydrotanshinone I,Vanillic acid,0.013403324
Gancaonin U,Acetylursolic acid,0.013401437
Myristicin,beta-Monoolein,0.01339893
Spermine,Isoschaftoside,0.013398334
Kaempferol,Isorhamnetin,0.013381364
Isorhamnetin,Glycyrrhetinic acid,0.013379545
Isolicoflavonol,alpha-Pinene,0.013357664
Sucrose,"3',4',7-Trihydroxyflavone",0.013351763
3-O-Caffeoylquinic acid,Isoglycyrol,0.013331387
Riboflavin,Isoliquiritin,0.013330257
Caffeic acid,Liquiritigenin,0.013325914
"3',4',7-Trihydroxyflavone",Oxalic acid,0.013315762
Uracil,Isoprene,0.013311692
3-O-Caffeoylquinic acid,Gancaonin U,0.013287832
Linoleic acid,Semilicoisoflavone B,0.013283631
Liquiritigenin,Oxalic acid,0.013280953
(-)-Jasmonic acid,7-Hydroxycoumarin,0.013279353
Miltirone,Isoliquiritigenin,0.013274655
Protopine,7-Hydroxycoumarin,0.01326165
Succinic acid,Pregnenolone,0.013227681
Rutin,Sigmoidin B,0.013211996
Isoschaftoside,Salicylic acid,0.013194946
Guanosine,Isoliquiritin,0.013194489
7-Hydroxycoumarin,Isoglycyrol,0.013188165
Glycyrol,Vindoline,0.013180821
Gibberellin A3,Protopine,0.013177936
N6-(delta2-Isopentenyl)adenine,Glycyrol,0.013176401
Scopoletin,Sigmoidin B,0.0131758
Peucedanin,Isoschaftoside,0.013161993
Liquiritigenin,alpha-Terpinene,0.013135923
Liquiritigenin,(+)-S-Carvone,0.013135923
Liquiritigenin,4-Terpineol,0.013135923
Isoglycyrol,Vincamine,0.013126129
Serotonin,"3',4',7-Trihydroxyflavone",0.013124411
"(6S,9R)-Roseoside",Palmitic acid,0.013118425
"3',4',7-Trihydroxyflavone",Isolicoflavonol,0.013104143
Berberine,Glycyrol,0.013097916
Vindoline,Gancaonin U,0.01309699
Mitraphylline,Licuroside,0.01309223
Oestrone,Isoschaftoside,0.013083584
Liquiritigenin,Indole-3-acetic acid,0.013083163
Dihydrotanshinone I,"3,4-Dihydroxybenzoic acid",0.013075985
(-)-Jasmonic acid,Isoferulic acid,0.013075657
Methyl rosmarinate,Octadecanoic acid,0.013066093
Succinic acid,Isoferulic acid,0.013053236
Isoliquiritin,Indole-3-acetic acid,0.013043469
Kaempferol 3-glucuronide,Echinatin,0.013003116
"3',4',7-Trihydroxyflavone",Glycyrol,0.012998582
Liquiritigenin,Vitamin A,0.012992959
6-Hydroxymellein,Phaseollidin,0.012990601
Quinic acid,Isoprene,0.012983685
trans-Zeatin,Gancaonin U,0.012978232
Tryptamine,Isoschaftoside,0.012977736
Acetylursolic acid,Licuroside,0.012975307
Gancaonin U,Tanshinone I,0.012963405
Isorhamnetin,Berberine,0.01295915
Echinatin,Tanshinone II,0.012951436
Ellagic acid,Miltirone,0.012941598
Liquiritigenin,Peucedanin,0.012938183
Dihydrotanshinone I,Sanguinarine,0.012935283
alpha-Pinene,Methyl rosmarinate,0.012929065
beta-Monoolein,Isoferulic acid,0.012922797
Miltirone,Vindoline,0.01291389
delta-Tocopherol,Semilicoisoflavone B,0.01288906
Lycopene,Sigmoidin B,0.012872888
Isoglycyrol,Semilicoisoflavone B,0.01286147
Cryptotanshinone,Isorhamnetin,0.012860651
beta-D-Glucosamine,Serotonin,0.012857203
Isoschaftoside,Coumestrol,0.012857152
Liquiritigenin,alpha-Tocopherol,0.012844189
Acetylursolic acid,Glycyrol,0.012831074
Betulinic acid,Isoglycyrol,0.012828532
"6,8-Diprenylgenistein",Isoglycyrol,0.012815847
Licuroside,"3',4',7-Trihydroxyflavone",0.012814019
delta-Tocopherol,Glycyrol,0.012813148
Sigmoidin B,Benzoic acid,0.012800129
6-Hydroxymellein,Isoglycyrol,0.012796597
Liquiritigenin,Methyl rosmarinate,0.012775218
Vincamine,Sucrose,0.012763896
Dihydrotanshinone I,Formononetin,0.012761744
Chelerythrine,Isoglycyrol,0.012753364
Succinic acid,Scopoletin,0.012739174
Isoglycyrol,Pregnenolone,0.012730842
Quercetin,Phaseollidin,0.01272691
"3',4',7-Trihydroxyflavone",Ajmalicine,0.012724088
Thiamine,Protopine,0.012704202
3' 5'-cyclic AMP,Isoglycyrol,0.012701326
Tetrahydroalstonine,Isoschaftoside,0.012690711
Glycyrol,Sweroside,0.012690398
Sigmoidin B,Miltirone,0.01268205
Isorhamnetin,Labiatenic acid,0.012677747
p-Coumaric acid,Isoliquiritin,0.012665673
Benzoic acid,Isoschaftoside,0.012647493
9-Ribosyl-trans-zeatin,Isoliquiritin,0.012647081
(-)-Jasmonic acid,Licuroside,0.012642858
Licuroside,Protopine,0.01263589
Myristicin,Isoliquiritin,0.012631864
p-Coumaric acid,beta-Carotene,0.012624266
Punicalin,p-Coumaric acid,0.012605454
Succinic acid,Ajmalicine,0.012601879
Isorhamnetin,Tanshinone II,0.012597411
Isoschaftoside,Scopoletin,0.012571927
Mitraphylline,alpha-Pinene,0.012564142
Sigmoidin B,Oleic acid,0.012558619
(-)-Jasmonic acid,Myristicin,0.012557664
Semilicoisoflavone B,beta-Carotene,0.012555491
Myristicin,Liquiritigenin,0.01254595
Liquiritigenin,Vindoline,0.012544585
Isolicoflavonol,Licuroside,0.012544224
Naringin,Miltirone,0.012540353
Kaempferol,Echinatin,0.012540094
Linoleic acid,Liquiritigenin,0.012521536
Glycyrol,Linoleic acid,0.012509941
Vincamine,Tetrahydroalstonine,0.012497642
Salicylic acid,Liquiritigenin,0.012493214
Malic acid,Dihydrotanshinone I,0.012492626
Thiamine,Gancaonin U,0.012490112
(-)-Jasmonic acid,Myoinositol,0.012487849
Ajmalicine,Isoliquiritin,0.01247083
Gancaonin U,beta-Carotene,0.012465511
Chrysoeriol,Isorhamnetin,0.012464185
Spermine,Isoglycyrol,0.012452842
Isoferulic acid,beta-D-Glucosamine,0.012421277
Isoprene,Isoliquiritin,0.01238951
Isorhamnetin 3-O-beta-D-glucopyranoside,Dihydrotanshinone I,0.012376593
Liquiritigenin,Vincristine,0.012371328
Tanshinone I,Sigmoidin B,0.012365635
L-Phenylalanine,Sigmoidin B,0.012356984
Mitraphylline,Serotonin,0.012347553
Kaempferol 3-glucuronide,beta-D-Glucosamine,0.012342908
Liquiritigenin,Acetovanillone,0.012320063
Isorhamnetin,Benzoic acid,0.012311339
Acetovanillone,Isoliquiritin,0.012307212
"6,8-Diprenylgenistein",Succinic acid,0.012306099
Citric acid,Isorhamnetin 3-O-beta-D-glucopyranoside,0.012305088
Indole-3-acetic acid,Succinic acid,0.012296519
Sweroside,Dihydrotanshinone I,0.012292287
Glycyrrhetinic acid,Isoschaftoside,0.012287879
"6,8-Diprenylgenistein",beta-Monoolein,0.012280184
"(6S,9R)-Roseoside",Sucrose,0.012262894
3' 5'-cyclic AMP,Sigmoidin B,0.012245803
Tetrahydroalstonine,Sigmoidin B,0.012243136
Labiatenic acid,Miltirone,0.012239704
Glycycoumarin,Phaseollidin,0.01223703
Sigmoidin B,alpha-Tocopherol,0.012232137
Spermidine,Glycyrol,0.012225685
L-Phenylalanine,Isoglycyrol,0.012211374
Palmitic acid,Licuroside,0.0122108
Formononetin,Echinatin,0.012209745
Linoleic acid,Glycycoumarin,0.012201812
Isorhamnetin,Folic acid,0.012170393
Labiatenic acid,Semilicoisoflavone B,0.012163492
Sanguinarine,Sigmoidin B,0.012162458
Sigmoidin B,Testosterone,0.012130282
p-Coumaric acid,Acetylursolic acid,0.012120226
beta-D-Glucosamine,"3',4',7-Trihydroxyflavone",0.012115319
Thiamine,Succinic acid,0.012100006
Miltirone,Cryptotanshinone,0.012098762
Testosterone,Loganic acid,0.01208498
Scopoletin,Gancaonin U,0.012078048
Isorhamnetin,Naringenin,0.012075858
Loganin,6-Hydroxymellein,0.012070381
Glycycoumarin,(-)-Jasmonic acid,0.012054572
Isoschaftoside,Malic acid,0.0120396
Glycyrrhetinic acid,Dihydrotanshinone I,0.012018488
Thiamine,Isoliquiritin,0.012010698
Oleic acid,Liquiritigenin,0.012002957
Sucrose,trans-Zeatin,0.011999523
Punicalin,Semilicoisoflavone B,0.011991727
Liquiritin,Miltirone,0.011987982
beta-Monoolein,6-Hydroxymellein,0.011977253
Testosterone,Isoschaftoside,0.0119607
Vindoline,Semilicoisoflavone B,0.011938505
Uracil,beta-Carotene,0.011936559
2'-Hydroxygenistein,Isorhamnetin,0.011930843
Uracil,Spermidine,0.011914488
Isoliquiritin,Linoleic acid,0.011914384
Isolicoflavonol,Kaempferol 3-glucuronide,0.011910342
Succinic acid,Myristicin,0.011901113
3' 5'-cyclic AMP,Isorhamnetin,0.011870897
Salicylic acid,Loganic acid,0.011843258
Isorhamnetin,trans-Zeatin,0.011843182
Vitamin A,Isorhamnetin,0.011834711
Isoschaftoside,"1,3,7-Trihydroxyxanthone",0.011820989
"3',4',7-Trihydroxyflavone",Lycopene,0.011804657
beta-Carotene,Glycyrol,0.011803993
Octadecanoic acid,Sigmoidin B,0.011803045
Semilicoisoflavone B,Tetrahydroalstonine,0.011784639
Caffeic acid,Glycycoumarin,0.011779159
Spermine,Sigmoidin B,0.011733371
Punicalin,Miltirone,0.011726588
Isoliquiritin,"(6S,9R)-Roseoside",0.011718869
Betulinic acid,Gancaonin U,0.011718057
"6,8-Diprenylgenistein",beta-D-Glucosamine,0.011701174
Lycopene,Loganic acid,0.011691299
Methyl rosmarinate,Fisetin,0.011681507
Loganic acid,Benzoic acid,0.011677509
Dihydrotanshinone I,Cholesterol,0.011665479
Glycyrol,Isoglycyrol,0.011660298
Dihydrotanshinone I,Folic acid,0.011659604
"3',4',7-Trihydroxyflavone",p-Coumaric acid,0.011642985
Labiatenic acid,Liquiritigenin,0.011629959
Adenosine,Liquiritigenin,0.011624876
Protopine,Myristicin,0.011605543
Uracil,"3',4',7-Trihydroxyflavone",0.011600127
4-Terpineol,Protopine,0.011597567
Protopine,(+)-S-Carvone,0.011597567
Protopine,alpha-Terpinene,0.011597567
Isoglycyrol,Myoinositol,0.011578683
Isoprene,Isorhamnetin 3-O-beta-D-glucopyranoside,0.011575349
9-Ribosyl-trans-zeatin,Myristicin,0.011566923
Acetylursolic acid,Uracil,0.011562903
Thiamine,Sigmoidin B,0.011559173
Isorhamnetin 3-O-beta-D-glucopyranoside,6-Hydroxymellein,0.01154478
Vanillic acid,Isoschaftoside,0.011538621
alpha-Pinene,Loganin,0.011537072
"6,8-Diprenylgenistein",Gancaonin U,0.01152646
Kaempferol 3-glucuronide,Mitraphylline,0.011526243
Semilicoisoflavone B,Acetylursolic acid,0.011526173
beta-Carotene,Isoliquiritin,0.011514923
Isoglycyrol,Octadecanoic acid,0.01149877
Isorhamnetin 3-O-beta-D-glucopyranoside,Riboflavin,0.01148566
Isoglycyrol,"(6S,9R)-Roseoside",0.011470886
Oxalic acid,Isorhamnetin 3-O-beta-D-glucopyranoside,0.011461564
Kaempferol 3-glucuronide,"3',4',7-Trihydroxyflavone",0.011455737
Echinatin,Oleanolic acid,0.011452581
Punicalin,Isoliquiritin,0.011450539
Isoliquiritigenin,Isorhamnetin,0.011447802
Isoliquiritin,Loganic acid,0.011439271
Sigmoidin B,Acetylursolic acid,0.01142463
Echinatin,Labiatenic acid,0.011420174
4-Terpineol,7-Hydroxycoumarin,0.011419693
7-Hydroxycoumarin,alpha-Terpinene,0.011419693
(+)-S-Carvone,7-Hydroxycoumarin,0.011419693
Lycopene,Isorhamnetin,0.011417202
beta-Carotene,beta-D-Glucosamine,0.011416555
Licuroside,beta-Monoolein,0.011412489
Isoferulic acid,Protopine,0.011405242
Tetrahydroalstonine,Palmitic acid,0.01140347
beta-D-Glucosamine,Pregnenolone,0.011402473
Isoglycyrol,Indole-3-acetic acid,0.011398897
Hirsutrin,Isoglycyrol,0.011396893
3' 5'-cyclic AMP,Phaseollidin,0.011396282
Sucrose,N6-(delta2-Isopentenyl)adenine,0.011393811
Myoinositol,Protopine,0.01138216
Labiatenic acid,Methyl rosmarinate,0.011377433
Sanguinarine,Liquiritigenin,0.011358855
Sigmoidin B,Myricetin,0.011358156
Licuroside,Sucrose,0.011335409
Myricetin,Isoschaftoside,0.011334936
Testosterone,Isorhamnetin,0.011328417
Liquiritigenin,Citric acid,0.011321437
"6,8-Diprenylgenistein",Dihydrotanshinone I,0.011311757
Glycyrrhizic acid,p-Coumaric acid,0.011307212
Isoschaftoside,"Methyl 3,4,5-trihydroxybenzoate",0.011304331
Palmitic acid,Uracil,0.011303535
Quinic acid,Gancaonin U,0.011291476
Chelerythrine,Dihydrotanshinone I,0.011288936
Echinatin,Glycyrrhizic acid,0.011278506
Lycopene,Echinatin,0.011267119
N6-(delta2-Isopentenyl)adenine,Uracil,0.011265115
Dihydrotanshinone I,Acetylursolic acid,0.011258609
Ajmalicine,Pregnenolone,0.011257961
Trigonelline,Isorhamnetin,0.011257137
Loganic acid,Coumestrol,0.011256162
Punicalin,Loganic acid,0.011244185
Glycyrol,Riboflavin,0.011241158
"(6S,9R)-Roseoside",Ajmalicine,0.011235626
Pregnenolone,Gancaonin U,0.011234764
Sweroside,Liquiritigenin,0.011229012
Sucrose,Liquiritigenin,0.011218293
Quinic acid,Guanosine,0.011212732
"3',4',7-Trihydroxyflavone",Isoliquiritin,0.011207809
Liquiritin,Dihydrotanshinone I,0.011203813
Licuroside,Glycycoumarin,0.011203706
Chelerythrine,Liquiritigenin,0.011191932
Miltirone,Salicylic acid,0.011183263
Tanshinone II,Isoschaftoside,0.011182143
Spermidine,"3',4',7-Trihydroxyflavone",0.011181668
beta-D-Glucosamine,7-Hydroxycoumarin,0.01118135
Kaempferol,Liquiritigenin,0.011180382
Punicalin,Glycycoumarin,0.011171188
Isorhamnetin,Isoschaftoside,0.011169308
Dihydrotanshinone I,alpha-Pinene,0.011152581
Pregnenolone,Isoliquiritin,0.011144641
Miltirone,Adenosine,0.011144283
Ajmalicine,Acetovanillone,0.011142545
Isorhamnetin,Vanillin,0.01112258
Loganic acid,Vincristine,0.011115655
Vincristine,Gancaonin U,0.01110708
Echinatin,Phaseollidin,0.011104132
Sucrose,Tetrahydroalstonine,0.011079503
Echinatin,"3,4-Dihydroxybenzoic acid",0.011071571
Ferruginol,Miltirone,0.011069198
Octadecanoic acid,Loganin,0.0110556
N6-(delta2-Isopentenyl)adenine,Isolicoflavonol,0.011037526
Benzoic acid,Echinatin,0.011030963
Tanshinone II,Dihydrotanshinone I,0.011026233
"3',4',7-Trihydroxyflavone",Gancaonin U,0.011015059
Berberine,Oxalic acid,0.011007521
Liquiritigenin,"3,4-Dihydroxybenzoic acid",0.010991454
Ajmalicine,Indole-3-acetic acid,0.010986936
beta-Monoolein,Scopoletin,0.010985451
Sigmoidin B,Betulinic acid,0.01097767
Apigenin,Liquiritigenin,0.010968835
Dihydrotanshinone I,Vanillin,0.01096821
Echinatin,(+)-S-Carvone,0.010963803
Echinatin,alpha-Terpinene,0.010963803
Echinatin,4-Terpineol,0.010963803
"3,4-Dihydroxybenzoic acid",Isoschaftoside,0.010961549
Isoglycyrol,Sanguinarine,0.010960586
N6-(delta2-Isopentenyl)adenine,Mitraphylline,0.010959891
9-Ribosyl-trans-zeatin,Lycopene,0.010955611
Miltirone,Oleanolic acid,0.010954928
Myristicin,Sigmoidin B,0.010951934
Sigmoidin B,alpha-Pinene,0.010947768
Ajmalicine,Isorhamnetin,0.010946716
Dihydrotanshinone I,Octadecanoic acid,0.010937046
Palmitic acid,N6-(delta2-Isopentenyl)adenine,0.010932651
Chrysoeriol,Isoschaftoside,0.010929811
Vincamine,beta-Monoolein,0.010925894
Dihydrotanshinone I,Oleic acid,0.010918002
Uracil,Berberine,0.010914879
N6-(delta2-Isopentenyl)adenine,Isorhamnetin,0.010913362
Octadecanoic acid,Isorhamnetin,0.010904099
Gancaonin U,Berberine,0.010893908
Liquiritigenin,Cholesterol,0.010889614
Spermidine,Gancaonin U,0.010884577
(-)-Jasmonic acid,3-O-Caffeoylquinic acid,0.010879675
Loganic acid,Glycyrrhizic acid,0.010868017
Uracil,Fisetin,0.010853614
Dihydrotanshinone I,Vitamin A,0.010838704
Glycycoumarin,Fisetin,0.010836657
Liquiritigenin,Chrysoeriol,0.010830117
Sigmoidin B,Isorhamnetin,0.010823234
Echinatin,Isoschaftoside,0.010816717
"3,4-Dihydroxybenzoic acid",Miltirone,0.010804973
Isoglycyrol,Vincristine,0.010802787
"1,3,7-Trihydroxyxanthone",Isorhamnetin,0.010788022
Dihydrotanshinone I,Naringin,0.010785996
Dihydrotanshinone I,Benzoic acid,0.010773233
Oxalic acid,Gancaonin U,0.010752946
Vitamin A,Sigmoidin B,0.010738299
Loganic acid,Isoprene,0.010731783
Liquiritigenin,Palmitic acid,0.010724907
Kaempferol 3-glucuronide,Phaseollidin,0.010723873
p-Coumaric acid,Oxalic acid,0.010721012
Quercetin,Miltirone,0.010716159
7-Hydroxycoumarin,Sigmoidin B,0.010707076
p-Coumaric acid,Cholesterol,0.01070599
Berberine,Mitraphylline,0.010704751
